0 0.00233393 0.00444656  0.14196 0.00352143
1 0.0116657 0.00435746  0.151671 0.00357805
2 0.00523498 0.00417501  0.144971 0.00332087
3 0.0110994 0.00421838  0.14559 0.0033291
4 0.00854084 0.00415191  0.139951 0.00348926
5 0.00872193 0.00414375  0.144517 0.00327714
6 0.00169483 0.00405888  0.144902 0.00314875
7 0.0173235 0.00413073  0.150098 0.00340224
8 0.00978793 0.00404752  0.143676 0.00305613
9 0.013463 0.00427374  0.154207 0.00337267
10 0.0049949 0.00434767  0.147995 0.00322634
11 0.00215153 0.00462804  0.146715 0.00350971
12 0.000146708 0.00417703  0.151466 0.00369532
13 0.0145565 0.0046669  0.150569 0.0039838
14 0.000617004 0.00423255  0.152912 0.00339049
15 0.00775361 0.00429425  0.151989 0.00337933
16 0.00953855 0.00430909  0.150015 0.00328849
17 0.00821875 0.00451778  0.143259 0.00343414
18 0.00318281 0.00451452  0.151307 0.00382788
19 -0.00440265 0.00503049  0.164534 0.00398122
20 0.00851848 0.00464588  0.144872 0.00377955
21 0.0140393 0.00464342  0.149853 0.00368763
22 -0.00661859 0.00461714  0.151541 0.0035295
23 0.0036145 0.00458245  0.150019 0.00397023
24 0.0112652 0.00471663  0.144311 0.00374613
25 -0.000367614 0.00455018  0.153013 0.00409949
26 0.00236227 0.00487697  0.155702 0.00363681
27 0.00226269 0.00466085  0.153776 0.00378924
28 0.0123191 0.00455951  0.150084 0.0037017
29 0.00865317 0.00436077  0.14137 0.00327385
30 0.0109374 0.00451167  0.149082 0.00381176
31 -0.00560885 0.00439775  0.146832 0.00334739
32 0.00678069 0.00400966  0.142876 0.00330954
33 0.00865273 0.0042312  0.151844 0.00352123
34 0.00941098 0.00411018  0.147447 0.00347849
35 0.00705168 0.0046138  0.144512 0.0039265
36 0.00437678 0.00408371  0.146172 0.00324106
37 0.0177664 0.00436118  0.154809 0.00365018
38 0.00997032 0.00443082  0.13976 0.00340291
39 0.00554386 0.00391258  0.142063 0.00279339
40 0.0123458 0.00414377  0.147079 0.00357796
41 0.0145112 0.00402003  0.145392 0.00334984
42 0.00540663 0.0040129  0.143656 0.0033787
43 0.0033111 0.00437181  0.150266 0.00368172
44 0.00606985 0.00420054  0.139093 0.00342239
45 0.0164473 0.00413633  0.139904 0.00330907
46 0.0196916 0.00432025  0.142577 0.00363745
47 0.0106051 0.00424404  0.144769 0.00341719
48 0.00281514 0.00403426  0.135832 0.00323061
49 0.0127617 0.00408659  0.132463 0.0034239
50 0.00693142 0.00396133  0.135861 0.00318381
51 0.0045276 0.00418569  0.139126 0.00315527
52 -0.00135713 0.00397825  0.13859 0.00329192
53 0.00269948 0.00402084  0.140207 0.00323384
54 0.00938654 0.00395516  0.141688 0.00317273
55 -5.8279e-06 0.00401783  0.139122 0.00316867
56 0.0114805 0.00384114  0.137039 0.00305449
57 -0.00281715 0.00475971  0.139821 0.00331335
58 0.00647486 0.0038857  0.144475 0.00362064
59 0.0257019 0.00414519  0.14369 0.00354993
60 0.0119759 0.00475309  0.149929 0.00416929
61 0.00884427 0.00405791  0.148269 0.0033843
62 -0.00206293 0.00417833  0.147194 0.00321278
63 0.00740339 0.00422522  0.146838 0.00367248
64 0.00978619 0.00428889  0.144308 0.00307212
65 0.00657899 0.00472303  0.142752 0.00356378
66 0.00190961 0.0044391  0.148769 0.00392462
67 0.017795 0.00448724  0.146635 0.00371628
68 0.00702159 0.00461195  0.149178 0.00365435
69 0.0122157 0.00440217  0.146739 0.00362462
70 0.00992525 0.00451115  0.147066 0.00410964
71 0.00604992 0.00478093  0.147856 0.00379955
72 0.0120843 0.00480014  0.156843 0.00476375
73 0.00414147 0.0043081  0.149383 0.00365246
74 0.0111162 0.00428661  0.140433 0.0033839
75 0.0222889 0.00432463  0.146382 0.00368856
76 0.00943455 0.00410462  0.142314 0.00325073
77 0.00972326 0.00399117  0.141998 0.00364521
78 0.00332948 0.00392816  0.139694 0.00319417
79 0.00566041 0.00404793  0.142064 0.00322553
80 0.00672781 0.00404282  0.138806 0.00310729
81 0.0138716 0.00399533  0.139763 0.00318553
82 -0.00883218 0.00456464  0.14084 0.00344588
83 0.00940669 0.00394638  0.13938 0.00327619
84 0.00984233 0.0040201  0.135678 0.0035057
85 0.0147798 0.00398577  0.140189 0.0033317
86 0.00962975 0.00385765  0.144587 0.00304206
87 0.00766862 0.00394494  0.139491 0.00351409
88 0.00870688 0.00428376  0.145865 0.00348668
89 0.00897232 0.00394283  0.136902 0.00325879
90 0.0136567 0.00393798  0.128843 0.00289149
91 0.0128978 0.00429348  0.138335 0.00337454
92 0.0175444 0.00387522  0.128571 0.00315064
93 0.0136492 0.0042372  0.141964 0.00355741
94 0.00153804 0.00430885  0.142043 0.00347099
95 0.0125619 0.00388269  0.133277 0.00311473
