0 0.019883 0.00620954  0.1983 0.0046406
1 0.0290709 0.00467117  0.1563 0.00376135
2 0.0172977 0.00741055  0.24349 0.00579039
3 0.00756886 0.00639069  0.217878 0.00543237
4 0.0023302 0.00677274  0.237335 0.00468616
5 0.00818502 0.00636371  0.220692 0.00518505
6 0.00419396 0.00557033  0.194782 0.00470582
7 0.0079444 0.0054237  0.18829 0.00426751
8 0.0145162 0.00408013  0.14715 0.00312895
9 -0.00874814 0.00476018  0.164651 0.00389323
10 0.0153373 0.00461154  0.157767 0.00402067
11 0.00735213 0.0047826  0.14295 0.00399641
12 0.000917929 0.013154  0.422279 0.0095014
13 0.0148531 0.00750569  0.208373 0.00536445
14 0.050814 0.016683  0.51825 0.0131457
15 0.0107514 0.00646133  0.205301 0.00482787
16 0.00257316 0.0105586  0.34204 0.00827728
17 0.0171663 0.00980973  0.305721 0.00703418
18 -0.00982333 0.00708309  0.229298 0.00564394
19 0.00953412 0.00607086  0.192023 0.00453284
20 -0.00886998 0.00718848  0.253512 0.00519685
21 -0.0249845 0.015977  0.379329 0.0136621
22 -0.00484885 0.00512887  0.182934 0.00436227
23 -0.0228399 0.040464  0.777136 0.0375426
24 0.00348084 0.00566575  0.201721 0.00460145
25 0.0474017 0.0148056  0.479217 0.0125208
26 0.0120113 0.00547115  0.1868 0.00418038
27 0.0104474 0.00467583  0.154231 0.00355381
28 -0.00904562 0.00939828  0.324365 0.00688061
29 -0.00777875 0.00406084  0.135454 0.00292638
30 0.00856924 0.00574901  0.202956 0.00450368
31 -0.0046328 0.00738233  0.259335 0.00593077
32 -0.00605695 0.00564788  0.204984 0.00433097
33 -0.00172702 0.00694586  0.241011 0.00541657
34 0.00617057 0.0070249  0.254142 0.00536533
35 -0.00104609 0.00718793  0.217837 0.00535635
36 0.0188108 0.00602209  0.199564 0.00435602
37 0.00706311 0.00824304  0.241856 0.00706511
38 0.00719854 0.00999744  0.237212 0.00781374
39 0.00595695 0.0119819  0.221 0.00943529
40 -0.0162058 0.0108718  0.279946 0.00929953
41 -0.00925812 0.00832049  0.215424 0.00673847
42 0.0202924 0.0098588  0.279451 0.00771102
43 0.00311783 0.00787786  0.234155 0.00649488
44 0.0174747 0.00415373  0.134349 0.00367581
45 0.0114089 0.00809331  0.263701 0.00678238
46 -0.0068821 0.00588836  0.196675 0.00439426
47 0.0400966 0.0101262  0.330234 0.0080095
48 0.0194151 0.00344575  0.12048 0.00307447
49 0.01027 0.00385937  0.130186 0.003528
50 0.0132832 0.00388075  0.122916 0.00331401
51 0.00694286 0.00388797  0.121615 0.00297849
52 0.016288 0.0036674  0.127432 0.00307824
53 0.00556048 0.0036281  0.1241 0.0029161
54 0.0114202 0.00397399  0.129744 0.00308779
55 0.0156436 0.00374834  0.122987 0.00322508
56 0.00965626 0.00371357  0.126837 0.00295751
57 -0.00305853 0.00458849  0.124681 0.00331603
58 0.00268072 0.00390964  0.128998 0.00327472
59 0.0100035 0.00445846  0.123712 0.00352718
60 0.0153242 0.00504642  0.117545 0.0040808
61 -0.00101389 0.00492094  0.12022 0.00442487
62 0.00367436 0.00514411  0.12909 0.00430353
63 -0.00326884 0.00528122  0.130294 0.00408088
64 0.00233013 0.00446411  0.12205 0.00376893
65 0.00391983 0.00480101  0.128598 0.00391848
66 0.0106936 0.00413879  0.127399 0.00347529
67 -0.00292223 0.00420648  0.132755 0.00353579
68 0.00194516 0.00419523  0.136119 0.00334278
69 0.00915815 0.00455197  0.134106 0.00383857
70 0.029153 0.00397658  0.125653 0.0036747
71 0.013359 0.00408979  0.130528 0.00361011
72 0.0127097 0.00411972  0.128692 0.00330038
73 0.0020454 0.00403205  0.134035 0.00329671
74 0.0143908 0.00386478  0.130257 0.00320686
75 0.00246756 0.00404346  0.13302 0.00339472
76 0.0120928 0.00385318  0.129851 0.00298516
77 0.00502808 0.00365301  0.123701 0.00291804
78 0.0152336 0.00369212  0.129652 0.00296079
79 0.0115084 0.00372593  0.12594 0.00302511
80 0.0047255 0.0041198  0.131085 0.0030785
81 0.00719016 0.00364717  0.121598 0.00316516
82 0.00626087 0.00448345  0.122923 0.00376957
83 0.0131009 0.0038209  0.121684 0.0034845
84 0.00327848 0.00445653  0.127099 0.00424313
85 0.0147157 0.00413079  0.130025 0.00365047
86 0.0106181 0.00391296  0.129732 0.00335401
87 0.0170375 0.00408726  0.128793 0.00354795
88 0.0162421 0.00383736  0.118957 0.0031309
89 0.00467469 0.00384644  0.119237 0.0029624
90 0.0113186 0.00392223  0.122567 0.00327353
91 0.00701837 0.00375813  0.12054 0.00286487
92 0.0126617 0.00392084  0.128827 0.00336818
93 0.0166998 0.00382269  0.125746 0.00331102
94 0.0179227 0.00355627  0.120308 0.00303747
95 0.0107168 0.00358804  0.119887 0.00280345
