0 0.0293371 0.00126817  0.24086 0.00117519
1 0.0359162 0.000864545  0.159203 0.000787749
2 -0.0285175 0.00116962  0.223071 0.00111315
3 0.0225005 0.0008883  0.165635 0.000840034
4 0.0168218 0.000819033  0.153403 0.000748477
5 0.0156684 0.0010245  0.197388 0.000975887
6 0.012772 0.000795536  0.148746 0.000690441
7 0.0214215 0.00123431  0.248335 0.0013097
8 0.0157878 0.000866818  0.170605 0.000782316
9 0.019648 0.00109745  0.210147 0.000993847
10 0.0188329 0.000939423  0.179596 0.000868476
11 0.0394042 0.00162068  0.272848 0.00175668
12 -0.0012756 0.00112194  0.200806 0.00101093
13 0.0163139 0.00130019  0.205448 0.00127008
14 0.00119325 0.00136663  0.255043 0.00149581
15 -0.00593418 0.00106229  0.19803 0.000956563
16 0.0125622 0.0010892  0.191128 0.00100421
17 0.024048 0.000886269  0.152196 0.000776238
18 0.02367 0.000985785  0.172672 0.000838699
19 0.0111819 0.000984616  0.171102 0.000893551
20 0.00389464 0.00164787  0.28873 0.00143522
21 0.0140284 0.00122634  0.214859 0.00107287
22 0.027851 0.000987631  0.160058 0.000862866
23 0.0105371 0.000948716  0.168071 0.0008842
24 0.00663017 0.00103973  0.183474 0.000926354
25 0.0155821 0.00118688  0.214799 0.00115624
26 0.0380104 0.00151068  0.260588 0.00127499
27 0.0363669 0.00084481  0.144682 0.000735875
28 0.0440205 0.000777742  0.136191 0.00069424
29 0.0326604 0.000786687  0.141621 0.000714964
30 0.0475045 0.000755803  0.13876 0.000684022
31 0.0461027 0.000826523  0.159298 0.000752361
32 0.0490597 0.00069738  0.134904 0.000642451
33 0.0466682 0.000863964  0.164827 0.000779641
34 0.0383971 0.00109026  0.217088 0.000999439
35 0.0423433 0.00117083  0.197659 0.00110778
36 0.0361382 0.000935304  0.172613 0.000851576
37 0.0327482 0.000906342  0.177789 0.000857053
38 0.0544491 0.00107854  0.167755 0.000969794
39 0.038884 0.000815883  0.156044 0.000711812
40 0.0602464 0.000881713  0.169667 0.000792977
41 0.0420477 0.000728108  0.134028 0.000656023
42 0.0454697 0.00115344  0.215207 0.00113269
43 0.0375781 0.000995564  0.178288 0.000885865
44 0.0234337 0.000819462  0.145731 0.0007408
45 0.024142 0.000973987  0.175197 0.000908453
46 0.0117194 0.00135733  0.23459 0.00114507
47 0.0229512 0.000925617  0.167804 0.000846197
48 0.0141779 0.000784227  0.138944 0.000672014
49 0.0174747 0.000772415  0.137817 0.000647827
50 0.017762 0.000826252  0.146131 0.000689982
51 0.030235 0.000847038  0.158631 0.000719513
52 0.00381118 0.000756074  0.138906 0.000642531
53 0.00815628 0.000742404  0.144902 0.000654082
54 0.00407309 0.000725589  0.1393 0.000642326
55 0.0048577 0.000709004  0.137491 0.00061837
56 0.00799164 0.000796556  0.151735 0.000696062
57 0.0158121 0.00109723  0.169388 0.000951254
58 0.0162059 0.000782779  0.151989 0.000675384
59 0.0129567 0.000858604  0.158253 0.000723503
60 0.00697973 0.000926252  0.159479 0.000768109
61 0.0130804 0.000814437  0.156875 0.000706055
62 0.0064299 0.000900594  0.158229 0.000782434
63 0.0197934 0.000865902  0.15288 0.000787492
64 0.00675288 0.000857256  0.154144 0.00075315
65 0.023756 0.000958515  0.17033 0.000826489
66 0.0424179 0.00106007  0.186401 0.000890032
67 0.0386279 0.00100281  0.171411 0.000843359
68 0.0407624 0.000871441  0.14331 0.000783378
69 0.0352143 0.000915341  0.156933 0.00080645
70 0.0374331 0.000933991  0.161339 0.000823647
71 0.0350136 0.000863942  0.145186 0.000764924
72 0.0556739 0.000876124  0.151723 0.000769477
73 0.0605124 0.000968104  0.161475 0.000838041
74 0.060269 0.000879401  0.157457 0.000779359
75 0.058965 0.000960813  0.168503 0.000839089
76 0.0576457 0.000797735  0.142188 0.000705837
77 0.0638796 0.00085805  0.155963 0.0007515
78 0.0540365 0.000842601  0.153532 0.000733063
79 0.0579814 0.000799293  0.146749 0.000694928
80 0.0565547 0.000846525  0.153464 0.000747063
81 0.0549232 0.000800246  0.145367 0.000712899
82 0.0470248 0.000988264  0.157114 0.000868677
83 0.05098 0.000830474  0.14565 0.000690453
84 0.0456869 0.000843496  0.13333 0.000714356
85 0.0676068 0.000851596  0.151068 0.000750508
86 0.0680478 0.000859062  0.155079 0.000740315
87 0.0519327 0.000758916  0.138076 0.000660782
88 0.0399613 0.000778704  0.135933 0.000666536
89 0.0494596 0.000807441  0.142916 0.000694732
90 0.0645179 0.000937011  0.160171 0.000861651
91 0.0583248 0.000964594  0.163253 0.000936795
92 0.0355835 0.000870713  0.147683 0.000733083
93 0.0308412 0.000782863  0.139515 0.00070548
94 0.0420131 0.000793357  0.1366 0.000691848
95 0.0230638 0.000753879  0.133913 0.0006478
