0 0.0250378 0.000953654  0.161816 0.000851937
1 0.0326491 0.00083651  0.138003 0.000734465
2 0.00132854 0.000955769  0.158655 0.000822816
3 0.0206057 0.000810631  0.136658 0.000736472
4 0.0172683 0.000801867  0.134792 0.000734444
5 0.0154157 0.000817423  0.139243 0.000766722
6 0.0115841 0.000855857  0.145669 0.000793284
7 0.0198334 0.000885777  0.156816 0.000827312
8 0.0234671 0.000825198  0.141266 0.000755927
9 0.0155428 0.00106116  0.165965 0.000949
10 0.0175575 0.00087501  0.143373 0.000791933
11 0.00921107 0.00119709  0.173243 0.00105962
12 0.0175283 0.000962001  0.146557 0.000896476
13 0.0188229 0.00107245  0.142601 0.00097869
14 0.00150158 0.00100274  0.159172 0.000922373
15 0.0107856 0.00100407  0.155806 0.000921001
16 0.00861717 0.00108091  0.169911 0.0009787
17 0.0249115 0.000955324  0.143615 0.000852584
18 0.0278058 0.000978525  0.149192 0.00088653
19 0.0205802 0.00100453  0.148413 0.000904468
20 0.0135192 0.00110598  0.16482 0.000990328
21 0.0260088 0.00108123  0.158722 0.000910472
22 0.02541 0.00109725  0.157586 0.000970005
23 0.0149836 0.00104844  0.146057 0.0009572
24 0.0171044 0.00102603  0.14642 0.000918571
25 0.0369429 0.00114011  0.163671 0.00114072
26 0.0442545 0.00117882  0.184391 0.00112157
27 0.0330903 0.000950465  0.14107 0.000830961
28 0.0413042 0.000869909  0.132784 0.000798174
29 0.0340312 0.000855171  0.132436 0.000782439
30 0.0457189 0.000872301  0.138597 0.000777378
31 0.0454344 0.000842977  0.142878 0.000772693
32 0.0481541 0.000761792  0.12911 0.000700558
33 0.0437174 0.000831455  0.138044 0.000774292
34 0.0499971 0.000956214  0.161048 0.000843609
35 0.0498897 0.00101478  0.149644 0.000873057
36 0.0317053 0.000883605  0.141651 0.000769991
37 0.038959 0.000869798  0.156105 0.000786062
38 0.0419127 0.00109709  0.154003 0.000960716
39 0.0406454 0.000783516  0.136386 0.000687435
40 0.0377608 0.00103711  0.170064 0.000895912
41 0.0346567 0.000775931  0.132634 0.000691887
42 0.0462168 0.00113016  0.194418 0.0010255
43 0.0320908 0.000973625  0.153423 0.000838519
44 0.0298393 0.000828857  0.13367 0.000765189
45 0.0313746 0.000911841  0.150914 0.000869263
46 0.0287332 0.000946376  0.15277 0.000885653
47 0.0277283 0.000907428  0.14141 0.000812387
48 0.0143031 0.000898864  0.139145 0.000757412
49 0.0179724 0.000886961  0.139858 0.000758048
50 0.0173645 0.000928796  0.145925 0.000769341
51 0.033596 0.000975967  0.160031 0.000823523
52 0.00737916 0.000878917  0.142533 0.000756634
53 0.00840205 0.000840485  0.146457 0.000751108
54 0.00531489 0.000821812  0.141825 0.000711937
55 0.00904089 0.000808539  0.1399 0.000704324
56 0.0129793 0.000888343  0.152585 0.000770542
57 0.0210342 0.00120204  0.168516 0.00102494
58 0.01929 0.000871817  0.153948 0.000750554
59 0.0140386 0.000955196  0.161867 0.000793982
60 0.0115852 0.00101742  0.160948 0.000874317
61 0.0176971 0.000906261  0.15784 0.000785972
62 0.00800716 0.000990248  0.16117 0.000868123
63 0.0251803 0.000940888  0.155334 0.000831378
64 0.00920633 0.000973382  0.157308 0.00085986
65 0.0252193 0.00107017  0.172689 0.00091971
66 0.045881 0.00117226  0.188534 0.000984523
67 0.0420824 0.0011186  0.173579 0.000917269
68 0.0434263 0.000948484  0.141583 0.000856222
69 0.0394438 0.00101423  0.158295 0.000876789
70 0.0396117 0.00103065  0.160146 0.000912731
71 0.034588 0.000958529  0.14629 0.000845383
72 0.0523835 0.000974758  0.152897 0.000865607
73 0.0557846 0.00109364  0.163924 0.000932295
74 0.059133 0.000966732  0.157595 0.000847727
75 0.0581179 0.00108405  0.174685 0.000959763
76 0.0568392 0.000888323  0.143992 0.000809057
77 0.0633158 0.000949293  0.157033 0.000821669
78 0.0512319 0.00092015  0.153078 0.000800965
79 0.0511699 0.000907545  0.148815 0.000772264
80 0.049379 0.000956553  0.155237 0.000832101
81 0.0518331 0.000922907  0.14491 0.000794233
82 0.0418215 0.00112823  0.155445 0.000973029
83 0.0491567 0.000953238  0.146151 0.000794426
84 0.0401482 0.000975487  0.13471 0.000811556
85 0.0616296 0.000956511  0.150777 0.000832299
86 0.0645574 0.00097951  0.156572 0.000835129
87 0.0457363 0.000864392  0.139305 0.000742582
88 0.0400521 0.000881353  0.134757 0.000760564
89 0.0441563 0.000926062  0.143838 0.000778165
90 0.0602256 0.00106482  0.16097 0.00098341
91 0.0601716 0.00109618  0.163072 0.00105384
92 0.0308984 0.00100436  0.149412 0.000826132
93 0.0295683 0.000905814  0.137231 0.000765045
94 0.0401158 0.00091025  0.136648 0.00079986
95 0.027019 0.000871036  0.133811 0.000773734
